"고유번호","언어","상호명","콘텐츠URL","주소","신주소","전화번호","웹사이트","운영시간","운영요일","휴무일","교통정보"
"45405","zh-CN","?花?江公?","https://chinese.visitseoul.net/nature/2024-yanghwahangang/CNPe5w2yc?utm_source=seoulopendata&utm_medium=nature&utm_content=CNPe5w2yc"," 서울 영등포구 당산동 98-1 ","07231 首?市永登浦??得? 221(堂山洞 96-1) ","+82-2-3780-0581~3","","全年?放","","","2??、9??堂山站3?出口"
"45404","ja","ヤンファ·ハンガン(楊花·漢江)公園","https://japanese.visitseoul.net/nature/2024-yanghwahangang/JPPe5w2yc?utm_source=seoulopendata&utm_medium=nature&utm_content=JPPe5w2yc"," 서울 영등포구 당산동 98-1 ","07231 ソウル市ヨンドゥンポ(永登浦)?ノドゥルロ221(タンサン洞96-1) ","+82-2-3780-0581~3","","年中開放","","","地下?2?線/9?線「タンサン」?3番出口"
"45402","ko","양화한강공원","https://korean.visitseoul.net/nature/2024-yanghwahangang/KOPe5w2yc?utm_source=seoulopendata&utm_medium=nature&utm_content=KOPe5w2yc"," 서울 영등포구 당산동 98-1 양화안내센터","07231 서울 영등포구 노들로 221 (당산동, 한강공원 양화안내센터) 양화 안내센터","02-3780-0581~3","","연중","","","2호선, 9호선 당산역 3번 출구 "
"27783","zh-CN","峨嵯山","https://chinese.visitseoul.net/nature/峨嵯山/CNP027689?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP027689","143-816 서울 광진구 구의동 3-19 ","04948 首?市?津?永?寺路135 ","+82-2-450-1395","","00:00~24:00","每日","","5?? 峨嵯山站2?出口 5?? ?渡口站1?出口"
"11399","ko","뚝섬유원지","https://korean.visitseoul.net/nature/뚝섬유원지/KOP011395?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP011395"," 서울특별시 광진구 자양동 704-1 뚝섬 한강공원","05097 서울특별시 광진구 강변북로 139  (자양동) ","02-3780-0521","","","","","7호선 뚝섬유원지 2번.3번 출구 좌측방향 20m 지점 음악분수광장 부근"
"36951","zh-TW","秋天賞楓道 ? 南山南側循環路","https://tchinese.visitseoul.net/nature/秋天賞楓道-?-南山南側循環路/TCP036947?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP036947"," 首爾市龍山區龍山洞2街山1-3 ","04340 首爾市龍山區南山公園路126 (龍山洞2街) ","+82-2-2199-7623(龍山區廳公園綠地課)","https://www.seoul.go.kr/storyw/autumn/list.do","","","",""
"36947","ko","가을단풍길 - 남산남측순환로","https://korean.visitseoul.net/nature/남산남측순환로/KOP036947?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP036947"," 서울 용산구 용산동2가 산 1-3 ","04340 서울 용산구 남산공원길 126 (용산동2가) ","02-2199-7623(용산구청 공원녹지과)","https://www.seoul.go.kr/storyw/autumn/list.do","","","",""
"37532","ko","지양산","https://korean.visitseoul.net/nature/지양산/KOP037532?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP037532"," 서울 양천구 신월동  ","08037 서울 양천구 신월동  산 158-1","","","","","",""
"29471","en","Solbat Neighborhood Park","https://english.visitseoul.net/nature/Solbat-Neighborhood-Park/ENP029458?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP029458","142-892 80 Ui-dong, Gangbuk-gu, Seoul ","01007 561 Samyang-ro, Gangbuk-gu, Seoul ","+82-2-901-6936","https://www.gangbuk.go.kr/eng/contents.do?key=2979","","","","Ui-Sinseol LRT Line, April 19th National Cemetery Station (Duksung Women’s University), Exit 2 (about 7 minutes by foot)"
"29461","ja","ペボンサン(?峰山)近隣公園","https://japanese.visitseoul.net/nature/baebongsan-neighborhood-park-jp/JPP029459?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP029459"," 32-20, mountain, Jeonnong-dong, Dongdaemun-gu, Seoul, Korea ","02509 22, Hancheon-ro 43-gil, Dongdaemun-gu, Seoul, Korea (전농동) ","+82-2-2127-4398","","","","",""
"1136","ko","석촌호수공원 ","https://korean.visitseoul.net/nature/석촌호수공원/KOP001136?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP001136","138-915 서울 송파구 잠실동 47 ","05608 서울 송파구 삼학사로 136 (서울놀이마당) ","02-412-0190","","","매일","연중무휴","2호선 잠실역 2번, 3번 출구"
"43287","zh-CN","中浪川河堤","https://chinese.visitseoul.net/nature/중랑천-제방/CNP001981?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP001981","01770 首?特?市 中浪? 面牧洞地? ","01770 首?特?市 中浪? 面牧洞地? ","+82-2-938-9520","https://www.jrecocenter.or.kr/","","","","地?7?? 中和站 3,4?出口 步行10分? 地?1?? 新里? 3?出口 步行10分? 1?? ??外??大?站 2?出口 步行10分?"
"1793","zh-TW","島山公園","https://tchinese.visitseoul.net/nature/島山公園/TCP001789?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP001789","135-120 首爾江南區新設洞 649-9","06020 首爾市江南區島山大路45街20 ","+82-2-3423-6245","","公園24小時開放 島山紀念館：每天 10:00~ 17:00 KST","週一~週日","公園：全年無休 島山紀念館：週一、新年連休、中秋連休、聖誕節","3號線狎鷗亭站3號出口約500公尺(建議搭乘計程車) "
"5477","en","Seoul Grand Park","https://english.visitseoul.net/nature/Seoul-Grand-Park/ENP005475?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP005475","427-702 159-1, Makgye-dong, Gwacheon-si, Gyeonggi-do ","13829 102, Daegongwongwangjang-ro, Gwacheon-si, Gyeonggi-do ","+82-2-500-7335","http://grandpark.seoul.go.kr/main/en.do","Zoo and Theme Garden Summer (May - October) 09:00 - 19:00 Winter (November - April) 09:00 - 18:00  Greenhouse Botanical Garden  10:00 - 16:00 (Year round) ","","","Subway Line 4, Seoul Grand Park Station, Exit 2  "
"16327","ko","선유도 야경","https://korean.visitseoul.net/nature/선유도-야경/KOP016327?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP016327","150-040 서울 영등포구 당산동 1 ","07200 서울 영등포구 선유로 343 (당산동, 선유도공원) ","02-2631-9368","http://parks.seoul.go.kr/template/sub/seonyudo.do","06:00 ~ 24:00 ","","",""
"1838","zh-CN","首?林","https://chinese.visitseoul.net/nature/首?林（서울숲）/CNP001838?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP001838","133-111 首?市城???水洞1街685-20 ","04770 首?市 城?? 纛?路 273(?水洞1街，?部公?休?中心) ","+82-2-460-2905","https://parks.seoul.go.kr/","首?林24小??放(但一部分?施?有使用??限制) 生?林 : 05:30~21:30 KST (生?保??域) 昆?植物? : 10:00~17:00 KST (每周一??) 蝴蝶庭院 : 10:00~17:00 KST (5~10月, 周一??)  生???? :?放活???? 地面?泉???? : 5~9月??(周一定期?修) -5~6月、9月 : 1、2、3、4点，30分? 4? -7~8月 : 12、1、2、3、4点, 30分?5? 湖水?泉???? : 5~9月，工作日共2次(11~13点, 15~16点), 休息日 1次(13~16点) 游客中心 : 09:00~18:00 KST(全年无休) / 冬季 10:00~17:00 KST (11~2月) ?椅、???、步行?助?租?：最??小?免?(※ 需要提供身??) 交流中心 : ??活?及展?等??放","","","2?? 堤?站8?出口出?后，步行15分? 盆唐? 首?林站 3，4?出口步行5分?"
"11235","zh-CN","首?色彩公?","https://chinese.visitseoul.net/nature/首?色彩公?/CNP011234?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP011234"," 首?市永登浦?汝矣?洞麻浦大??之路<br>首?市永登浦?汝矣?洞?江市民公?首?色彩公? ","  ","+82-2-3780-0561(?江???部)","","24小?","","","5?? 汝矣?站2?出口 ?Mini Stop便利店方向的人行?道后??前行至下一?人行?道→?江市民公??球?方向前??200米到色彩公?→前方?是(琴?溪流)  5?? 汝矣? 2?出口 ?Mini Stop便利店方向的人行?道后直走200米到麻浦大?→右??是(?之路)  "
"4400","zh-CN","冠岳山","https://chinese.visitseoul.net/nature/冠岳山（관악산）/CNP004398?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP004398","151-019 首?市冠岳?大?洞 -","151-019  ","+82-2-879-6521","http://www.gwanak.go.kr/site/gwanak/05/10503020100002016051205.jsp","","","","2?? 首?大?入口站 首?大?正?下?  "
"3968","ko","반포 한강공원","https://korean.visitseoul.net/nature/반포-한강공원/KOP003968?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP003968","137-040 서울시 서초구 반포동 115-5 ","137-040 서울특별시 서초구 신반포로11길 39 (반포동) ","02-591-5943","https://hangang.seoul.go.kr/archives/46727","24시간   * 달빛무지개분수 가동시간 비수기(5~6월,  9~10월) (매회 20분) - 19:30, 20:00, 20:30, 21:00 성수기(7~8월) (매회 20분) - 19:30, 20:00, 20:30, 21:00, 21:30","","","3호선 고속터미널 8-1,8-2번출구로나와 도보  4호선 동작 1,2번출구  "
"39757","zh-CN","霜草公?","https://chinese.visitseoul.net/nature/霜草公?/CNP039706?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP039706","137-070 首?市瑞草?瑞草洞1005-6 霜草公?","  ","+82-2-2155-6861","","","每日","","7???方站1?出口步行1003米"
"29865","zh-TW","蠶室漢江公園","https://tchinese.visitseoul.net/nature/蠶室漢江公園/TCP004023?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP004023","138-220 首爾市松坡區蠶室洞1-1 ","138-220 首爾市松坡區漢佳藍路65  (蠶室洞) ","+82-2-3780-0511","https://tchinese.seoul.go.kr/服務/文化/江/2-蠶室/","24小時","","","地鐵2號線蠶室渡口站3、4號出口(900公尺) 地鐵2號線蠶室站6號出口  "
"44733","en","Ihwa Mural Village","https://english.visitseoul.net/nature/IhwaMuralVillage/ENPz90c1l?utm_source=seoulopendata&utm_medium=nature&utm_content=ENPz90c1l","  ","03088 49, Naksan 4-gil, Jongno-gu, Seoul ","","","","","","Subway Line 4, Hyehwa Station, Exit 2"
"2304","zh-CN","佛光川融日?","https://chinese.visitseoul.net/nature/佛光川融日?/CNP002300?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP002300","120-132 首?西大??北加佐2洞 融日?","120-132 首?特?市 西大?? 佛光川街 146 ","+82-2-350-14119","http://www.sdm.go.kr","","","","6?? ?山站2?出口出?步行5分?  "
"27778","zh-TW","烽山","https://tchinese.visitseoul.net/nature/烽山-TC/TCP027690?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP027690","122-807 首爾市恩平區龜山洞山135-8 ","03424 首爾市恩平區西五陵路23街8-5 (守國寺) ","+82-2-351-6114","https://eptour.kr/v2/layout/contents_view.php?b_um=03&m_um=01&s_um=01&t_um=01","24小時","","","6號線龜山站3號出口"
"29239","ko","녹사평역 지하예술정원","https://korean.visitseoul.net/nature/녹사평역-지하예술정원/KOP029239?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP029239","140-024 서울 용산구 용산동4가 4 ","04353 서울 용산구 녹사평대로 지하 195 (용산동4가, 6호선 녹사평역) ","02-794-5579","","","","",""
"16376","ja","ソクチョン(石村)湖夜景","https://japanese.visitseoul.net/nature/seokchon-lake-at-night-jp/JPP016328?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP016328","138-915 ソウル市松坡?쒧室洞 47","05608 ソウル市ソンパ(松坡)?サムハクサロ136 (쒧室洞)","+82-2-412-0190","","?日","","","地下?2?線「チャムシル」?3番出口"
"42069","en","Namsan Yejang Park","https://english.visitseoul.net/nature/NamsanYejangPark/ENP042009?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP042009","  ","04628 36, Toegye-ro 26-gil, Jung-gu, Seoul ","","","","","",""
"37216","en","Gyeongui Line Forest Park","https://english.visitseoul.net/nature/Gyeongui-Line-Forest-Park/ENP037160?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP037160"," 190-1, Donggyo-dong, Mapo-gu, Seoul, Korea ","04051 188, Yanghwa-ro, Mapo-gu, Seoul, Korea (Aekyung Tower) ","","","","","","Subway Line 2, Gyeongui-Jungang Hongik University Station, Exit 3 (6 minutes by foot)"
"2257","ko","불광천","https://korean.visitseoul.net/nature/불광천/KOP002257?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP002257"," 서울 은평구 불광동 서대문구 북가좌동 일대 "," 서울 은평구 불광동 서대문구 북가좌동 일대 ","","","","","","6호선 증산역 1번, 2번 출구 도보 5분    6호선 응암역 4번 출구 도보 5분    6호선 새절역 1번, 2번 출구 도보 5분 "
"29945","ko","서소문역사공원","https://korean.visitseoul.net/nature/서소문역사공원/KOP029945?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP029945","100-142 서울 중구 의주로2가 16-72 ","04510 서울 중구 칠패로 5 (서소문공원) ","02-313-7986","https://www.seosomun.org/retrieveContents.do?mCode=111","09:30~17:30","화~일","월요일","2호선 충정로역 4번 출구"
"2071","en","Marronnier Park","https://english.visitseoul.net/nature/Marronnier-Park/ENP002071?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP002071"," 1-124, Dongsung-dong, Jongno-gu, Seoul, Korea ","03087 104, Daehak-ro, Jongno-gu, Seoul, Korea (동숭동) ","+82-2-2148-4158","","","","","Subway Line 4, Hyehwa Station, Exit 2 (5 mins on foot)"
"29830","ja","プルン樹木園","https://japanese.visitseoul.net/nature/pureun-arboretum-jp/JPP029796?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP029796","152-140 ソウル市九老?航洞31 ","08361 ソウル市クロ(九老)?ヨンドンロ240 (航洞)プルン樹木園","+82-2-2686-3200","http://parks.seoul.go.kr/template/sub/pureun.do","5:00-22:00（イベント·行事などにより?動する場合があります）*KST","?日","年中無休","地下?1?線「ヨッコク」?1番出口 地下?1?線/7?線「オンス」?2番、4番出口"
"19541","ja","慰安婦?記憶の地?","https://japanese.visitseoul.net/nature/Comfort-Women-Memorial-Park-JP/JPP019540?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP019540","100-250 ソウル市中?芸場洞 2-1 ソウル?合防災センタ?","04628 ソウル市中?トェゲロ26ガギル6 (芸場洞)ソウル?合防災センタ?","","","","","","地下?4?線?ミョンドン??1番出口"
"6605","zh-TW","土城山城步道","https://tchinese.visitseoul.net/nature/土城山城步道/TCP006603?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP006603"," 首爾市松坡區五輪洞 夢村土城"," 首爾市松坡區奧林匹克路424 ","+82-2-2147-2000","","","","","8號線夢村土城站1號出口 "
